Names,Prices,RAM|ROM,Camera,Display,Processor,Battery,Ratings
"LAVA Blaze (Glass Red, 64 GB)","9,399",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP Triple AI Camera + 8MP front camera | 8MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio A22 Processor,5000 mAh Lithium Polymer Battery,None
"LAVA Z4 (Aqua Blue, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP + 5MP + 2MP | 16MP Front Camera,16.55 cm (6.517 inch) HD+ Display,MediaTek Helio G35 Processor,5000 mAh Li-Polymer Battery,3.9
"REDMI 10A (Charcoal Black, 64 GB)","8,349",4 GB RAM | 64 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,12 months,5000 mAh Battery,4.2
"REDMI 10A (Charcoal Black, 32 GB)","7,999",3 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,12 months,5000 mAh Battery,4.1
"vivo Y15s (Mystic Blue, 32 GB)","9,499",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,13MP + 2MP | 8MP Front Camera,16.54 cm (6.51 inch) HD+ Display,Mediatek Helio P35 Processor,5000 mAh Lithium Battery Battery,4.3
"Redmi 9A Sport (Coral Green, 32 GB)","7,599",3 GB RAM | 32 GB ROM,13MP Rear Camera,16.59 cm (6.53 inch) Display,1 Year Warranty,5000 mAh Battery,4.2
"realme Narzo 50i (Carbon Black, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,16.51 cm (6.5 inch) Display,SC9863A Processor,5000 mAh Battery,4.3
"Tecno Spark 9 (Sky Mirror, 128 GB)","9,699",6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,13MP Rear Camera | 8MP Front Camera,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio G37 Octa Core Processor,5000 mAh Battery,4.1
"REDMI 9 Activ (Carbon Black, 64 GB)","8,989",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP + 2MP | 5MP Front Camera,16.59 cm (6.53 inch) HD+ Display,Mediatek Helio G35 Processor,5000 mAh Lithium Polymer Battery,4.2
"Tecno Spark 8P (Turquoise Cyan, 64 GB)","9,295",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,50MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,MediaTek Helio G85 Processor,5000 mAh Battery,4.1
